Name,IF,IFDenseRank,IFMinRank
aggreg,117461.64916666667,1.0,1.0
system,116679.98166666666,2.0,2.0
node,113414.20416666666,3.0,3.0
attribut,105089.34051724138,4.0,4.0
dht,99742.55862068966,5.0,5.0
applic,99695.07126436781,6.0,6.0
tree,98270.37527777777,7.0,7.0
network,97358.94540229885,8.0,8.0
sdim,96776.76666666666,9.0,9.0
updat,95058.18620689656,10.0,10.0
probe,94895.87586206898,11.0,11.0
propag,94392.7974137931,12.0,12.0
data,94187.95833333334,13.0,13.0
provid,90297.43333333333,14.0,14.0
distribut,90250.33472222222,15.0,15.0
flexibl,90045.88965517242,16.0,16.0
function,89888.44827586207,17.0,17.0
scalabl,86851.58735632183,18.0,18.0
valu,85270.26666666668,19.0,19.0
inform,84467.85083333333,20.0,20.0
domain,82954.70689655172,21.0,21.0
level,82692.28275862068,22.0,22.0
strategi,82355.66120689655,23.0,23.0
properti,81590.77931034483,24.0,24.0
figur,81318.90201149425,25.0,25.0
number,81291.6225,26.0,26.0
local,80936.66551724137,27.0,27.0
replic,80589.5125,28.0,28.0
rout,79434.25,29.0,29.0
oper,79181.80862068966,30.0,30.0
tabl,79030.97356321839,31.0,31.0
key,78357.80689655173,32.0,32.0
comput,78314.98965517242,33.0,33.0
instal,77144.94482758621,34.0,34.0
set,75893.58333333333,35.0,35.0
algorithm,75487.59137931034,36.0,36.0
result,73968.3775862069,37.0,37.0
api,73687.24913793104,38.0,38.0
adht,73120.85948275862,39.0,39.0
robust,72786.87385057472,40.0,40.0
reconfigur,72786.42155172414,41.0,41.0
root,72781.44597701149,42.0,42.0
perform,72743.0275862069,43.0,43.0
time,72221.23965517241,44.0,44.0
isol,72031.30804597701,45.0,45.0
note,71963.47701149425,46.0,46.0
support,71923.1158045977,47.0,47.0
increas,71715.65689655172,48.0,48.0
read,71649.76551724138,49.0,49.0
administr,71320.38620689655,50.0,50.0
abstract,71242.19942528736,51.0,51.0
reaggreg,70870.29333333333,52.0,52.0
type,70727.45574712644,53.0,53.0
virtual,69521.63793103448,54.0,54.0
global,69207.69109195404,55.0,55.0
queri,68977.38505747126,56.0,56.0
simpl,67527.69281609196,57.0,57.0
failur,66259.85431034483,58.0,58.0
experi,65619.14666666667,59.0,59.0
maintain,65443.64655172414,60.0,60.0
current,65299.91522988506,61.0,61.0
adapt,65264.11034482758,62.0,62.0
control,65209.44500000001,63.0,63.0
monitor,65051.011494252874,64.0,64.0
subtre,64955.04770114942,65.0,65.0
leaf,64394.22606060606,66.0,66.0
rang,63356.85333333333,67.0,67.0
write,63306.31034482759,68.0,68.0
latenc,63052.0551724138,69.0,69.0
design,62829.667241379306,70.0,70.0
approach,62781.791379310336,71.0,71.0
continu,62632.1224137931,72.0,72.0
requir,62620.533055555556,73.0,73.0
simul,62461.85948275861,74.0,74.0
hierarch,62437.49425287357,75.0,75.0
gener,62192.56,76.0,76.0
store,61925.46,77.0,77.0
addit,61904.45416666668,78.0,78.0
singl,61779.349137931036,79.0,79.0
larg,61673.27327586207,80.0,80.0
implement,61491.73333333333,81.0,81.0
file,60454.33194444445,82.0,82.0
path,60413.11379310345,83.0,83.0
astrolab,59894.61494252873,84.0,84.0
order,59808.61,85.0,85.0
locat,59644.569444444445,86.0,86.0
pastri,59643.19333333333,87.0,87.0
issu,59236.58706896551,88.0,88.0
section,58765.8025862069,89.0,89.0
protocol,58408.17192982456,90.0,90.0
ondemand,57869.43083333334,91.0,91.0
case,57637.31120689655,92.0,92.0
detail,57416.66886792452,93.0,93.0
respect,56938.85287356322,94.0,94.0
build,56865.489080459774,95.0,95.0
intern,56837.02068965518,96.0,96.0
mechan,56702.057499999995,97.0,97.0
machin,56036.8025862069,98.0,98.0
largescal,55633.885416666664,99.0,99.0
return,55556.33103448276,100.0,100.0
handl,55469.729885057466,101.0,101.0
updateup,55395.28909090909,102.0,102.0
interfac,55387.385,103.0,103.0
request,55327.65185185185,104.0,104.0
ensur,55100.629310344826,105.0,105.0
hash,54911.98879310345,106.0,106.0
cost,54839.2275862069,107.0,107.0
state,54517.835151515144,108.0,108.0
basic,54430.35555555555,109.0,109.0
initi,54393.362222222226,110.0,110.0
child,54062.47098765432,111.0,111.0
observ,53930.825287356325,112.0,112.0
lazi,53583.554022988515,113.0,113.0
answer,53474.731034482764,114.0,114.0
paramet,53420.246198830406,115.0,115.0
base,53015.101851851854,116.0,116.0
access,52993.6551724138,117.0,117.0
leve,52691.627469135805,118.0,118.0
reduct,52403.172222222216,119.0,119.0
manag,52354.66242424242,120.0,120.0
work,52235.152515723275,121.0,121.0
scheme,52155.59649122807,122.0,122.0
converg,52081.916666666664,123.0,123.0
present,52055.611224489796,124.0,124.0
satisfi,51928.24999999999,125.0,125.0
structur,51873.629629629635,126.0,126.0
send,51648.009259259255,127.0,127.0
effici,51512.16206896552,128.0,128.0
achiev,50758.75862068965,129.0,129.0
prototyp,50476.943030303024,130.0,130.0
gossip,50305.88024691358,131.0,131.0
affect,50235.11315789473,132.0,132.0
match,50092.51981132075,133.0,133.0
updateal,49801.121069182394,134.0,134.0
exist,49743.977011494244,135.0,135.0
servic,49609.423255813956,136.0,136.0
defin,49298.45359477124,137.0,137.0
receiv,49226.87160493827,138.0,138.0
ancestor,49168.188271604944,139.0,139.0
space,48971.723270440256,140.0,140.0
tupl,48943.374074074076,141.0,141.0
nearbi,48850.73775510205,142.0,142.0
compar,48785.44339622641,143.0,143.0
aml,48718.26666666667,144.0,144.0
illustr,48540.79433962264,145.0,145.0
broad,48454.10818181818,146.0,146.0
layer,48304.454545454544,147.0,147.0
multicast,47580.59920634921,148.0,148.0
yield,47515.54659090909,149.0,149.0
copi,47514.038888888885,150.0,150.0
load,47458.666666666664,151.0,151.0
depart,47210.525786163525,152.0,152.0
polici,47201.25,153.0,153.0
form,46699.93023255814,154.0,154.0
children,46439.45987654321,155.0,155.0
consist,46360.02583333333,156.0,156.0
techniqu,46216.53252032521,157.0,157.0
default,45971.6,158.0,158.0
occur,45963.625925925924,159.0,159.0
resourc,45881.26944444444,160.0,160.0
mib,45839.73333333334,161.0,161.0
least,45715.54878048781,162.0,162.0
object,45538.712790697675,163.0,163.0
spatial,45405.282758620684,164.0,164.0
leav,45308.02631578947,165.0,165.0
appli,45237.0875,166.0,166.0
hierarchi,45006.7518115942,167.0,167.0
size,44922.60818181818,168.0,168.0
improv,44813.96811594203,169.0,169.0
topolog,44749.578104575165,170.0,170.0
al,44679.61047619048,171.0,171.0
prefix,44649.164,172.0,172.0
origin,44546.39803921568,173.0,173.0
final,44525.52575757576,174.0,174.0
chang,44506.86571428571,175.0,175.0
construct,44388.14916666666,176.0,176.0
scale,44315.857547169806,177.0,177.0
sensor,44277.28571428571,178.0,178.0
make,44270.08130081301,179.0,179.0
intermedi,44218.22160493827,180.0,180.0
averag,44085.01984126984,181.0,181.0
guarante,43895.97083333333,182.0,182.0
small,43886.81172839506,183.0,183.0
eventu,43755.47836879433,184.0,184.0
name,43717.02898550725,185.0,185.0
argument,43693.42993197279,186.0,186.0
attrtyp,43671.00113636364,187.0,187.0
commun,43519.4623655914,188.0,188.0
