Name,IF,IFDenseRank,IFMinRank
node,86080.3747637051,1.0,1.0
sensor,84973.93809073724,2.0,2.0
local,78253.6483931947,3.0,3.0
system,73550.06710775048,4.0,4.0
network,73490.58601134215,5.0,5.0
locat,71881.643194707,6.0,6.0
color,70858.53969754252,7.0,7.0
rang,68198.46739130435,8.0,8.0
deploy,67687.41209829866,9.0,9.0
figur,65993.6781663516,10.0,10.0
connect,65906.08601134215,11.0,11.0
algorithm,65695.33223062383,12.0,12.0
time,64843.93194706994,13.0,13.0
relax,63520.85349716446,14.0,14.0
accuraci,60684.40548204159,15.0,15.0
label,60677.731568998104,16.0,16.0
obtain,58864.914933837426,17.0,17.0
imag,58805.622873345936,18.0,18.0
techniqu,58292.87240075614,19.0,19.0
light,57981.706521739135,20.0,20.0
number,57060.60491493383,21.0,21.0
propos,56690.11247637051,22.0,22.0
stardust,56635.869092627596,23.0,23.0
distanc,56327.38468809074,24.0,24.0
process,56215.18241965974,25.0,25.0
radio,56085.51984877126,26.0,26.0
shown,55176.08223062382,27.0,27.0
section,55146.72164461247,28.0,28.0
base,54233.58175803402,29.0,29.0
inform,52666.993383742905,30.0,30.0
set,52573.17958412098,31.0,31.0
comput,52404.282608695656,32.0,32.0
devic,52084.2145557656,33.0,33.0
detect,51891.55009451796,34.0,34.0
compon,51838.523156899806,35.0,35.0
constraint,51770.583175803404,36.0,36.0
interest,51327.72306238185,37.0,37.0
uniqu,50722.48015122873,38.0,38.0
ft,50647.896975425334,39.0,39.0
result,50201.1606805293,40.0,40.0
assign,49969.35822306238,41.0,41.0
evalu,49835.16824196597,42.0,42.0
framework,49356.27272727273,43.0,43.0
function,49236.264650283556,44.0,44.0
low,48996.69187145558,45.0,45.0
space,48328.7079395085,46.0,46.0
requir,47827.60586011342,47.0,47.0
high,47792.50992438563,48.0,48.0
posit,46958.432892249526,49.0,49.0
probabl,46890.3961352657,50.0,50.0
present,46712.87240075614,51.0,51.0
perform,46510.03623188406,52.0,52.0
match,45834.396975425334,53.0,53.0
ccr,45671.30434782609,54.0,54.0
distribut,45326.47826086957,55.0,55.0
ni,44988.71172022684,56.0,56.0
map,44867.46975425331,57.0,57.0
atmospher,44459.60869565217,58.0,58.0
aerial,44196.107178968654,59.0,59.0
size,43879.06238185255,60.0,60.0
investig,43769.51465028355,61.0,61.0
scheme,43380.825075834175,62.0,62.0
larg,43136.14130434782,63.0,63.0
depict,42880.26473429952,64.0,64.0
model,42830.85255198488,65.0,65.0
support,42825.58847320526,66.0,66.0
achiev,42564.74887556222,67.0,67.0
design,42426.25652173914,68.0,68.0
filter,42369.99810964083,69.0,69.0
constrain,42337.00897920604,70.0,70.0
remark,41305.69416996048,71.0,71.0
capabl,40983.544065804934,72.0,72.0
neighbor,40944.54773156899,73.0,73.0
consist,40670.07886754297,74.0,74.0
reflect,40641.014492753624,75.0,75.0
implement,40496.44268774704,76.0,76.0
experiment,40470.36521739131,77.0,77.0
direct,40389.08385093168,78.0,78.0
estim,40285.603024574666,79.0,79.0
case,40263.9404536862,80.0,80.0
main,40110.4513457557,81.0,81.0
step,40094.99585921325,82.0,82.0
solut,40089.87577639752,83.0,83.0
architectur,40084.13144590496,84.0,84.0
anchor,40031.05072463768,85.0,85.0
iter,39933.10111223458,86.0,86.0
error,39706.51606805293,87.0,87.0
creat,39644.308555399715,88.0,88.0
observ,39397.16446124764,89.0,89.0
identifi,38996.169659735344,90.0,90.0
gener,38956.495652173915,91.0,91.0
pictur,38951.91304347826,92.0,92.0
assum,38882.51552795031,93.0,93.0
small,38862.28458498024,94.0,94.0
environ,38845.23741418764,95.0,95.0
durat,38806.42490118577,96.0,96.0
factor,38339.31225296443,97.0,97.0
equat,37983.28313891834,98.0,98.0
receiv,37930.65334900117,99.0,99.0
sourc,37753.67934782608,100.0,100.0
area,37543.712215320906,101.0,101.0
higher,37543.66109253066,102.0,102.0
scale,37514.309462915604,103.0,103.0
ipa,37290.115942028984,104.0,104.0
addit,37166.91965973535,105.0,105.0
central,37153.40217391304,106.0,106.0
commun,36984.480549199085,107.0,107.0
beacon,36704.036561264824,108.0,108.0
research,36678.1884057971,109.0,109.0
tabl,36654.55529300567,110.0,110.0
defin,36611.79584120983,111.0,111.0
power,36417.95217391304,112.0,112.0
show,36369.20413573701,113.0,113.0
hardwar,36291.310710498416,114.0,114.0
problem,36179.396076352066,115.0,115.0
combin,36006.98757763975,116.0,116.0
affect,35981.25,117.0,117.0
applic,35909.88157894737,118.0,118.0
report,35820.782608695656,119.0,119.0
beam,35756.46127717391,120.0,120.0
built,35681.26829268293,121.0,121.0
control,35624.71183013144,122.0,122.0
remain,35484.452279957586,123.0,123.0
spatial,35438.55279503105,124.0,124.0
ident,35395.43577075099,125.0,125.0
cost,35373.5552795031,126.0,126.0
scenario,35360.03790412486,127.0,127.0
strength,35266.69565217391,128.0,128.0
develop,35220.28661327231,129.0,129.0
form,35209.849802371544,130.0,130.0
target,35206.98807854137,131.0,131.0
employ,35178.62876254181,132.0,132.0
possibl,35121.95652173913,133.0,133.0
influenc,35090.90647118301,134.0,134.0
fals,34986.77536231884,135.0,135.0
emit,34802.823369565216,136.0,136.0
retroreflect,34654.16531850354,137.0,137.0
modul,34615.35207939508,138.0,138.0
feet,34291.54285714286,139.0,139.0
experi,34258.05662285136,140.0,140.0
drop,34244.22391304348,141.0,141.0
lumin,33957.50252780586,142.0,142.0
converg,33805.330434782605,143.0,143.0
standard,33722.48641304348,144.0,144.0
execut,33706.889413988654,145.0,145.0
optic,33674.32714740191,146.0,146.0
depend,33594.433172302735,147.0,147.0
global,33593.12743628185,148.0,148.0
address,33387.46059782609,149.0,149.0
contrast,33321.6599378882,150.0,150.0
accur,33273.03172737956,151.0,151.0
work,33202.68906455863,152.0,152.0
wsn,33188.128146453084,153.0,153.0
similar,33113.765625,154.0,154.0
increas,33112.50881316099,155.0,155.0
percentag,33100.28614762386,156.0,156.0
repres,32888.53768115942,157.0,157.0
object,32782.54891304347,158.0,158.0
camera,32575.36231884058,159.0,159.0
equip,32547.78681626928,160.0,160.0
condit,32546.513729977116,161.0,161.0
potenti,32424.366627497064,162.0,162.0
vehicl,32374.49241658241,163.0,163.0
determin,32324.422360248445,164.0,164.0
produc,32320.051529790657,165.0,165.0
densiti,32279.416996047432,166.0,166.0
initi,32278.94279176201,167.0,167.0
order,32217.377926421406,168.0,168.0
illumin,32200.557065217392,169.0,169.0
idea,32132.516304347824,170.0,170.0
period,32016.09782608696,171.0,171.0
provid,31774.544008483565,172.0,172.0
part,31731.177536231884,173.0,173.0
data,31712.406471183014,174.0,174.0
call,31567.467656415694,175.0,175.0
end,31476.754755434784,176.0,176.0
intens,31462.97142857143,177.0,177.0
success,31443.88405797101,178.0,178.0
releas,31423.594202898545,179.0,179.0
act,31258.56713554987,180.0,180.0
record,31210.709807886753,181.0,181.0
signal,30938.422705314006,182.0,182.0
retroreflector,30931.54137447405,183.0,183.0
structur,30918.515217391305,184.0,184.0
reason,30880.613712374587,185.0,185.0
import,30870.4625884732,186.0,186.0
track,30866.26726342711,187.0,187.0
infer,30761.35,188.0,188.0
militari,30727.062709030102,189.0,189.0
paramet,30716.456521739135,190.0,190.0
field,30446.95588235294,191.0,191.0
background,30309.470457079155,192.0,192.0
effect,30209.869565217396,193.0,193.0
ground,30194.476086956525,194.0,194.0
long,30061.15517241379,195.0,195.0
analysi,30001.297297297297,196.0,196.0
graph,29962.730769230773,197.0,197.0
challeng,29869.196182396605,198.0,198.0
simpl,29763.695121951223,199.0,199.0
transform,29721.43667296786,200.0,200.0
line,29701.815789473687,201.0,201.0
incom,29539.797101449276,202.0,202.0
selfright,29451.667080745337,203.0,203.0
neg,29344.875,204.0,204.0
extens,29271.231884057972,205.0,205.0
goal,29270.815217391304,206.0,206.0
specif,29168.051932367147,207.0,207.0
correctli,29131.440476190473,208.0,208.0
pair,28981.173913043476,209.0,209.0
realist,28970.92391304348,210.0,210.0
collect,28925.471014492752,211.0,211.0
recognit,28870.44908466819,212.0,212.0
solv,28750.89955022489,213.0,213.0
follow,28647.10448807854,214.0,214.0
edg,28586.103678929765,215.0,215.0
differ,28516.758893280632,216.0,216.0
feasibl,28513.341950646303,217.0,217.0
primit,28511.82608695652,218.0,218.0
propag,28449.0347826087,219.0,219.0
physic,28424.896551724138,220.0,220.0
highli,28339.77652173913,221.0,221.0
multipl,28284.207161125323,222.0,222.0
event,28234.75585284281,223.0,223.0
orient,28219.295454545456,224.0,224.0
futur,28198.117391304346,225.0,225.0
wireless,28171.139978791096,226.0,226.0
exist,28045.18953804348,227.0,227.0
millisecond,27986.19917743831,228.0,228.0
manner,27568.73993558776,229.0,229.0
paper,27565.170731707316,230.0,230.0
appar,27464.460547504026,231.0,231.0
white,27403.620471014492,232.0,232.0
larger,27386.54130434783,233.0,233.0
input,27242.59839816933,234.0,234.0
major,27135.601902173912,235.0,235.0
pose,27082.56695652174,236.0,236.0
grid,26994.23684210526,237.0,237.0
emitt,26954.69160768453,238.0,238.0
night,26931.01565217391,239.0,239.0
reach,26924.53162055336,240.0,240.0
understand,26869.523411371243,241.0,241.0
constraintbas,26764.336231884055,242.0,242.0
candid,26750.254180602005,243.0,243.0
point,26658.225000000002,244.0,244.0
interact,26623.259725400454,245.0,245.0
energi,26614.272534464475,246.0,246.0
centroid,26612.868357487925,247.0,247.0
real,26587.235836627144,248.0,248.0
build,26561.54347826087,249.0,249.0
metric,26392.55652173913,250.0,250.0
previous,26388.654244306417,251.0,251.0
equal,26198.36255259467,252.0,252.0
intuit,26190.536731634184,253.0,253.0
rangefre,26082.631379962193,254.0,254.0
plight,26064.14130434782,255.0,255.0
vari,26032.764130434778,256.0,256.0
fact,26007.652173913044,257.0,257.0
run,26005.433607520565,258.0,258.0
updat,25981.292596944775,259.0,259.0
nj,25975.565217391304,260.0,260.0
note,25945.310559006208,261.0,261.0
decid,25888.048418972336,262.0,262.0
limit,25881.268115942024,263.0,263.0
formul,25858.201086956524,264.0,264.0
sensorbal,25856.827262044655,265.0,265.0
perfect,25854.19565217391,266.0,266.0
rug,25797.77759197324,267.0,267.0
separ,25793.70531400966,268.0,268.0
predict,25789.59565217391,269.0,269.0
manufactur,25745.901534526853,270.0,270.0
relat,25628.167701863353,271.0,271.0
wind,25615.13304347826,272.0,272.0
probabilist,25581.361660079052,273.0,273.0
confid,25510.589894242068,274.0,274.0
coordin,25437.398865784497,275.0,275.0
