Name,IF,IFDenseRank,IFMinRank
locat,54609.36000000001,1.0,1.0
user,52536.948749999996,2.0,2.0
applic,49610.549999999996,3.0,3.0
time,49580.509090909094,4.0,4.0
inform,49449.278125000004,5.0,5.0
system,47265.78378378379,6.0,6.0
context,47133.20625,7.0,7.0
support,46491.61689189189,8.0,8.0
group,46351.459375000006,9.0,9.0
interact,44501.751351351355,10.0,10.0
comput,43864.38636363636,11.0,11.0
implement,40285.903125000004,12.0,12.0
sensor,39974.72,13.0,13.0
commun,39688.59375,14.0,14.0
contextawar,37755.63,15.0,15.0
current,37510.65375,16.0,16.0
member,37455.600000000006,17.0,17.0
provid,37157.520000000004,18.0,18.0
chapter,36944.03472222222,19.0,19.0
awar,36705.155303030304,20.0,20.0
architectur,36688.36363636364,21.0,21.0
enabl,36507.103030303035,22.0,22.0
symbol,36475.58787878788,23.0,23.0
order,36432.644594594596,24.0,24.0
account,36402.95757575757,25.0,25.0
attribut,36318.84848484849,26.0,26.0
figur,36069.200000000004,27.0,27.0
giss,35831.442361111105,28.0,28.0
event,35089.357575757575,29.0,29.0
proxim,34723.96000000001,30.0,30.0
activ,34664.200000000004,31.0,31.0
base,34219.53787878788,32.0,32.0
sens,33888.041666666664,33.0,33.0
form,33764.97222222222,34.0,34.0
interfac,33369.5945945946,35.0,35.0
trigger,32904.18409090909,36.0,36.0
environ,32883.2053030303,37.0,37.0
type,32705.93918918919,38.0,38.0
messeng,32667.88611111111,39.0,39.0
map,32177.72,40.0,40.0
instant,31725.21041666666,41.0,41.0
refer,31675.95,42.0,42.0
ident,31612.454545454544,43.0,43.0
servic,31530.565000000006,44.0,44.0
mean,31399.934848484845,45.0,45.0
asynchron,31262.88375,46.0,46.0
client,31256.548484848485,47.0,47.0
peopl,30770.311111111107,48.0,48.0
determin,30689.577272727274,49.0,49.0
chang,30676.70757575758,50.0,50.0
abstract,30385.793181818182,51.0,51.0
spatial,30383.512500000004,52.0,52.0
part,30140.945454545454,53.0,53.0
list,30128.51953125,54.0,54.0
mobil,29976.916666666664,55.0,55.0
featur,29760.521875000002,56.0,56.0
posit,29601.91363636363,57.0,57.0
import,28980.800000000003,58.0,58.0
singl,28980.056756756763,59.0,59.0
integr,28952.086875,60.0,60.0
level,28920.8325,61.0,61.0
defin,28887.068181818187,62.0,62.0
tag,28855.0421875,63.0,63.0
room,28522.221666666668,64.0,64.0
socal,28505.495454545453,65.0,65.0
kind,28504.966406249998,66.0,66.0
retriev,28402.33181818182,67.0,67.0
hierarchi,28266.72,68.0,68.0
final,28249.223611111112,69.0,69.0
present,27988.744375000002,70.0,70.0
accuraci,27842.4015625,71.0,71.0
fusion,27732.800000000003,72.0,72.0
easili,27669.170454545452,73.0,73.0
network,27429.27878787879,74.0,74.0
develop,27292.76590909091,75.0,75.0
model,27209.291666666668,76.0,76.0
physic,26945.300000000003,77.0,77.0
introduc,26733.186290322577,78.0,78.0
dynam,26685.59375,79.0,79.0
respect,26622.020312499997,80.0,80.0
notifi,26504.951562500002,81.0,81.0
framework,26293.333333333332,82.0,82.0
exist,26276.027272727275,83.0,83.0
messag,26197.43387096774,84.0,84.0
approach,26191.33035714285,85.0,85.0
area,26155.324999999997,86.0,86.0
person,25858.90887096774,87.0,87.0
situat,25846.25,88.0,88.0
detect,25774.394696969695,89.0,89.0
distribut,25623.03515625,90.0,90.0
work,25606.502419354838,91.0,91.0
server,25566.054545454546,92.0,92.0
entiti,25554.916935483867,93.0,93.0
contact,25532.6175,94.0,94.0
addit,25134.345312499998,95.0,95.0
simpl,25089.42708333333,96.0,96.0
virtual,25071.25,97.0,97.0
store,24623.732258064512,98.0,98.0
postit,24147.9925,99.0,99.0
set,23901.448484848483,100.0,100.0
place,23897.637096774193,101.0,101.0
collect,23816.77727272727,102.0,102.0
view,23807.51120689655,103.0,103.0
number,23722.254,104.0,104.0
ad,23675.442,105.0,105.0
requir,23561.15357142857,106.0,106.0
differ,23510.25,107.0,107.0
case,23407.388888888887,108.0,108.0
carri,23405.470192307694,109.0,109.0
manag,23379.148648648654,110.0,110.0
gener,23291.19230769231,111.0,111.0
clientsid,23175.206818181818,112.0,112.0
sourc,23113.94140625,113.0,113.0
avail,23106.875675675677,114.0,114.0
repres,22964.9640625,115.0,115.0
detail,22956.0828125,116.0,116.0
visualis,22837.945945945947,117.0,117.0
floor,22816.324999999997,118.0,118.0
serv,22729.916666666664,119.0,119.0
complet,22592.88,120.0,120.0
state,22554.375,121.0,121.0
chosen,22550.803000000004,122.0,122.0
multipl,22396.260000000002,123.0,123.0
granular,22357.394642857143,124.0,124.0
meet,22299.682432432437,125.0,125.0
restrict,22170.391346153847,126.0,126.0
respons,22049.60625,127.0,127.0
consid,21900.35384615385,128.0,128.0
proceed,21803.709375,129.0,129.0
facilit,21782.545312500002,130.0,130.0
occur,21587.952,131.0,131.0
encapsul,21573.787500000002,132.0,132.0
concept,21392.22,133.0,133.0
ieee,21294.66,134.0,134.0
overview,21261.73548387097,135.0,135.0
accept,21225.688513513516,136.0,136.0
send,21207.845,137.0,137.0
goal,21177.60652173913,138.0,138.0
relev,21055.45,139.0,139.0
show,21052.675000000003,140.0,140.0
evalu,21024.348214285714,141.0,141.0
access,21022.39,142.0,142.0
accur,20999.109782608695,143.0,143.0
today,20945.75,144.0,144.0
automat,20943.62068965517,145.0,145.0
acquir,20921.95,146.0,146.0
motiv,20907.791666666664,147.0,147.0
build,20898.65,148.0,148.0
histori,20896.58482142857,149.0,149.0
represent,20874.996000000003,150.0,150.0
proximitysensor,20803.524193548386,151.0,151.0
deliv,20782.386,152.0,152.0
join,20758.56818181818,153.0,153.0
data,20745.36574074074,154.0,154.0
longer,20730.9,155.0,155.0
take,20680.58787878788,156.0,156.0
point,20520.530434782606,157.0,157.0
sort,20459.725000000002,158.0,158.0
subsystem,20450.045000000002,159.0,159.0
busi,20417.67403846154,160.0,160.0
real,20348.774193548386,161.0,161.0
twodimension,20321.2125,162.0,162.0
identifi,20241.921428571426,163.0,163.0
thrown,20219.1625,164.0,164.0
address,20213.199999999997,165.0,165.0
reader,20191.623,166.0,166.0
open,20188.947115384617,167.0,167.0
perform,20115.350892857143,168.0,168.0
contain,20110.32,169.0,169.0
introduct,20108.9,170.0,170.0
cover,20079.333000000002,171.0,171.0
hand,20043.728906250002,172.0,172.0
rule,19958.82037037037,173.0,173.0
extend,19935.677419354837,174.0,174.0
distinguish,19930.225,175.0,175.0
tabl,19918.733333333334,176.0,176.0
definit,19900.214285714283,177.0,177.0
central,19775.864999999998,178.0,178.0
coreattribut,19689.98181818182,179.0,179.0
human,19602.405000000002,180.0,180.0
nearbi,19595.3,181.0,181.0
visual,19545.4425,182.0,182.0
object,19523.543478260868,183.0,183.0
resid,19439.222999999998,184.0,184.0
main,19370.06129032258,185.0,185.0
includ,19363.43181818182,186.0,186.0
reason,19345.547297297297,187.0,187.0
intern,19321.903125,188.0,188.0
depart,19315.38552631579,189.0,189.0
display,19303.06875,190.0,190.0
extern,19155.328703703704,191.0,191.0
abstractionattribut,19147.7125,192.0,192.0
synchron,19074.24054054054,193.0,193.0
function,19029.344444444443,194.0,194.0
rfid,19027.007407407404,195.0,195.0
recogn,19004.6875,196.0,196.0
enhanc,18995.584848484847,197.0,197.0
issu,18984.27364864865,198.0,198.0
fact,18903.170000000002,199.0,199.0
possibl,18790.940384615387,200.0,200.0
decid,18777.681,201.0,201.0
coordin,18760.782692307694,202.0,202.0
statu,18753.72258064516,203.0,203.0
cf,18666.14625,204.0,204.0
wlan,18601.101923076923,205.0,205.0
class,18577.292592592592,206.0,206.0
make,18572.399999999998,207.0,207.0
rang,18566.712962962964,208.0,208.0
standard,18557.524999999998,209.0,209.0
dimens,18526.044444444444,210.0,210.0
combin,18524.399999999998,211.0,211.0
lack,18486.277173913044,212.0,212.0
condit,18445.65714285714,213.0,213.0
adapt,18400.41,214.0,214.0
describ,18395.330434782605,215.0,215.0
focu,18382.816666666666,216.0,216.0
remot,18362.209090909088,217.0,217.0
seamless,18345.909375000003,218.0,218.0
compris,18337.0,219.0,219.0
advantag,18334.175675675677,220.0,220.0
