Name,IF,IFDenseRank,IFMinRank
locat,59771.94166666666,1.0,1.0
sensor,59381.826250000006,2.0,2.0
node,58724.38026315789,3.0,3.0
wit,57313.705555555556,4.0,4.0
inform,55269.082500000004,5.0,5.0
system,54003.164375,6.0,6.0
cenwit,52919.9375,7.0,7.0
time,52584.91,8.0,8.0
hiker,51992.880000000005,9.0,9.0
receiv,51872.1,10.0,10.0
network,47582.540625,11.0,11.0
power,47496.925,12.0,12.0
record,47194.13,13.0,13.0
design,46991.71071428571,14.0,14.0
area,46717.555555555555,15.0,15.0
point,46016.34642857143,16.0,16.0
rescu,43802.775,17.0,17.0
memori,43140.61125,18.0,18.0
gp,43023.81642857143,19.0,19.0
track,42774.88235294118,20.0,20.0
current,42346.896428571425,21.0,21.0
commun,41515.11184210526,22.0,22.0
number,41421.08142857143,23.0,23.0
search,41190.35428571429,24.0,24.0
base,41189.200000000004,25.0,25.0
figur,40533.40928571428,26.0,26.0
group,40054.8,27.0,27.0
satellit,39395.09071428572,28.0,28.0
larg,38779.14,29.0,29.0
hike,38668.041176470586,30.0,30.0
connect,38540.16375,31.0,31.0
access,38404.95642857143,32.0,32.0
requir,37950.99428571428,33.0,33.0
trail,37663.6705882353,34.0,34.0
call,37625.36470588235,35.0,35.0
encount,37406.435000000005,36.0,36.0
rang,37029.515789473684,37.0,37.0
provid,36985.510714285716,38.0,38.0
transmitt,36826.80857142857,39.0,39.0
data,36059.049999999996,40.0,40.0
import,35766.0,41.0,41.0
transmit,35085.93,42.0,42.0
store,34208.27375000001,43.0,43.0
gener,34073.490441176466,44.0,44.0
fact,33955.44705882353,45.0,45.0
protocol,33135.9703125,46.0,46.0
partit,33125.2828125,47.0,47.0
user,33049.31693548387,48.0,48.0
address,32977.12,49.0,49.0
beacon,32921.950000000004,50.0,50.0
send,32812.776562499996,51.0,51.0
wilder,32458.499999999996,52.0,52.0
make,31854.69,53.0,53.0
energi,31828.587096774198,54.0,54.0
limit,31806.770625,55.0,55.0
batteri,31650.600000000002,56.0,56.0
process,31627.732500000002,57.0,57.0
applic,31597.699999999997,58.0,58.0
case,31440.356617647056,59.0,59.0
result,31332.111764705878,60.0,60.0
emit,31266.48088235294,61.0,61.0
work,31236.439393939396,62.0,62.0
maintain,30926.936250000002,63.0,63.0
center,30898.901250000003,64.0,64.0
run,30890.350000000002,65.0,65.0
move,30811.15,66.0,66.0
infer,30783.01176470588,67.0,67.0
implement,30648.509999999995,68.0,68.0
save,30457.258620689652,69.0,69.0
speed,30452.485294117647,70.0,70.0
contact,30265.69411764706,71.0,71.0
prototyp,30142.341428571424,72.0,72.0
mica,30124.471428571425,73.0,73.0
radio,30031.406666666666,74.0,74.0
experi,29965.8125,75.0,75.0
singl,29961.39453125,76.0,76.0
simpl,29924.22321428571,77.0,77.0
collect,29917.45882352941,78.0,78.0
count,29781.64705882353,79.0,79.0
problem,29771.584375000002,80.0,80.0
report,29684.961764705884,81.0,81.0
present,29662.34375,82.0,82.0
small,29594.296323529412,83.0,83.0
hop,29574.44705882353,84.0,84.0
expens,29522.95,85.0,85.0
determin,29472.882352941175,86.0,86.0
cost,29377.53984375,87.0,87.0
due,29034.69926470588,88.0,88.0
amount,28992.193548387095,89.0,89.0
low,28543.48,90.0,90.0
