Name,IF,IFDenseRank,IFMinRank
process,27806.020823902218,1.0,1.0
execut,27172.840199185153,2.0,2.0
grid,26881.784065187865,3.0,3.0
activ,25133.678587596198,4.0,4.0
parallel,24397.712765957443,5.0,5.0
control,23975.757808963335,6.0,6.0
comput,23482.338614757813,7.0,7.0
order,23386.75192394749,8.0,8.0
model,23048.684498480245,9.0,9.0
data,22826.749999999996,10.0,10.0
servic,22464.551063829786,11.0,11.0
start,21850.58888126287,12.0,12.0
schedul,21654.674772036473,13.0,13.0
propos,21404.23951367781,14.0,14.0
wide,21255.088145896654,15.0,15.0
specif,20933.293617021274,16.0,16.0
support,20858.053417836123,17.0,17.0
infrastructur,20835.626075147127,18.0,18.0
distribut,20626.54956994115,19.0,19.0
resourc,20173.519692168404,20.0,20.0
program,19620.20668693009,21.0,21.0
local,18834.2109929078,22.0,22.0
element,18724.64463558171,23.0,23.0
refer,18634.74231678487,24.0,24.0
languag,18621.957446808512,25.0,25.0
structur,18421.500679040288,26.0,26.0
network,18255.931914893616,27.0,27.0
coordin,18145.75509280217,28.0,28.0
group,17910.263467632412,29.0,29.0
manag,17870.79764599366,30.0,30.0
perform,17772.338007736944,31.0,31.0
state,17770.292069632495,32.0,32.0
node,17724.762411347518,33.0,33.0
repres,17585.291568163906,34.0,34.0
workflow,17578.728132387707,35.0,35.0
environ,17477.609707446805,36.0,36.0
avail,17428.788652482268,37.0,37.0
algorithm,17369.063829787232,38.0,38.0
aim,17114.017021276595,39.0,39.0
architectur,16552.628338614755,40.0,40.0
task,16540.079303675047,41.0,41.0
inform,16448.64184397163,42.0,42.0
section,16395.183890577504,43.0,43.0
depend,16284.0,44.0,44.0
pass,16140.146382978723,45.0,45.0
gridflow,15921.487989018531,46.0,46.0
extern,15853.650323774284,47.0,47.0
steer,15733.790881458966,48.0,48.0
work,15732.22340425532,49.0,49.0
monitor,15673.336351290176,50.0,50.0
maintain,15489.089361702127,51.0,51.0
area,15446.79574468085,52.0,52.0
gener,15317.578723404255,53.0,53.0
type,15295.330754352031,54.0,54.0
advantag,15295.282028067,55.0,55.0
middlewar,15218.457446808512,56.0,56.0
time,15213.829787234043,57.0,57.0
hierarch,15086.489361702128,58.0,58.0
present,15020.073367571535,59.0,59.0
automat,14918.251697600725,60.0,60.0
recoveri,14907.79900407424,61.0,61.0
machin,14851.56360344047,62.0,62.0
