Name,IF,IFDenseRank,IFMinRank
node,82956.18074074075,1.0,1.0
local,75780.26962962963,2.0,2.0
msp,73954.8049382716,3.0,3.0
event,73694.65679012345,4.0,4.0
system,72969.75061728395,5.0,5.0
sequenc,72777.20000000001,6.0,6.0
figur,69834.44,7.0,7.0
locat,69565.47950617285,8.0,8.0
scan,66844.56000000001,9.0,9.0
anchor,64363.27012345679,10.0,10.0
time,62316.28,11.0,11.0
accuraci,59753.44493827161,12.0,12.0
sensor,59294.74913580247,13.0,13.0
target,59257.983209876555,14.0,14.0
method,58479.465679012355,15.0,15.0
result,57926.974320987654,16.0,16.0
error,57918.10716049384,17.0,17.0
distribut,57747.566419753086,18.0,18.0
area,57647.77777777778,19.0,19.0
obtain,57538.62074074075,20.0,20.0
propag,54922.46913580247,21.0,21.0
process,54900.240000000005,22.0,22.0
gener,54478.01333333334,23.0,23.0
show,53949.97777777778,24.0,24.0
basic,53799.81827160494,25.0,25.0
number,53615.12000000001,26.0,26.0
perform,53376.8562962963,27.0,27.0
order,53284.43851851852,28.0,28.0
shown,52842.22222222222,29.0,29.0
network,52755.68,30.0,30.0
evalu,52424.820740740746,31.0,31.0
line,52263.240000000005,32.0,32.0
achiev,52139.62962962963,33.0,33.0
requir,50708.66370370371,34.0,34.0
distanc,50582.11111111111,35.0,35.0
estim,50014.10469135803,36.0,36.0
solut,49228.74666666667,37.0,37.0
propos,48431.40740740741,38.0,38.0
comput,48282.12,39.0,39.0
flip,48224.25925925926,40.0,40.0
base,47783.20790123457,41.0,41.0
algorithm,47602.99555555556,42.0,42.0
inform,47553.277037037034,43.0,43.0
detect,47507.16148148148,44.0,44.0
make,47449.42320987654,45.0,45.0
case,47442.41185185186,46.0,46.0
present,46882.12938271605,47.0,47.0
wave,46687.777777777774,48.0,48.0
cost,46469.67308641975,49.0,49.0
section,46308.294320987654,50.0,50.0
iter,46239.69777777778,51.0,51.0
improv,46210.53333333333,52.0,52.0
reduc,45918.37037037037,53.0,53.0
addit,45062.08888888889,54.0,54.0
deploy,44487.17333333334,55.0,55.0
outdoor,43765.088888888895,56.0,56.0
accur,43459.62172839506,57.0,57.0
sequencebas,43432.630123456795,58.0,58.0
implement,41778.63308641975,59.0,59.0
set,41599.54567901234,60.0,60.0
direct,41527.78864197531,61.0,61.0
small,41466.31111111111,62.0,62.0
approach,41319.751111111116,63.0,63.0
increas,41101.601975308644,64.0,64.0
work,41031.0,65.0,65.0
band,40591.06419753087,66.0,66.0
protect,40591.06419753087,66.0,66.0
effect,40504.45432098766,67.0,68.0
high,40121.969696969696,68.0,69.0
physic,39469.712098765434,69.0,70.0
impact,39305.002469135805,70.0,71.0
illustr,39235.11666666667,71.0,72.0
adapt,39201.06666666667,72.0,73.0
simul,39014.700529100526,73.0,74.0
due,38857.9,74.0,75.0
optim,38818.560000000005,75.0,76.0
synchron,38642.523035230355,76.0,77.0
angl,38590.7037037037,77.0,78.0
experi,38514.357575757575,78.0,79.0
design,38475.491358024694,79.0,80.0
smaller,38300.07407407407,80.0,81.0
map,38081.36260162602,81.0,82.0
address,37971.92144702842,82.0,83.0
start,37962.09777777778,83.0,84.0
multipl,37782.799012345684,84.0,85.0
idea,37550.20051679586,85.0,86.0
paper,37484.76744186046,86.0,87.0
straightlin,37301.24031007752,87.0,88.0
speed,37026.63232323233,88.0,89.0
hardwar,36704.09545454545,89.0,90.0
problem,36469.165311653116,90.0,91.0
exist,36439.05388888889,91.0,92.0
boundari,36435.365079365074,92.0,93.0
maximum,36307.031111111115,93.0,94.0
previou,36092.34497354497,94.0,95.0
complet,36068.541666666664,95.0,96.0
appli,35972.823848238484,96.0,97.0
dbe,35966.76818181818,97.0,98.0
sound,35873.555555555555,98.0,99.0
data,35437.27662835249,99.0,100.0
elimin,35405.931707317075,100.0,101.0
part,35318.37333333334,101.0,102.0
limit,35289.38319783198,102.0,103.0
scenario,35245.70840108401,103.0,104.0
polygon,35188.58428184282,104.0,105.0
applic,35145.37606837606,105.0,106.0
posit,35134.68376068376,106.0,107.0
compar,34804.17975308642,107.0,108.0
final,34559.62962962963,108.0,109.0
rangefre,34507.86096866097,109.0,110.0
statist,34337.854545454546,110.0,111.0
rang,34266.33618233618,111.0,112.0
spotlight,34199.886039886034,112.0,113.0
introduc,33994.488888888896,113.0,114.0
partial,33877.93391812865,114.0,115.0
ideal,33697.767479674796,115.0,116.0
larg,33677.32740740741,116.0,117.0
feet,33520.75202020202,117.0,118.0
uncertainti,33489.02361111111,118.0,119.0
random,33468.03636363637,119.0,120.0
averag,33368.398915989164,120.0,121.0
demonstr,33285.67131782946,121.0,122.0
testb,33005.47719298246,122.0,123.0
mote,32908.125,123.0,124.0
indoor,32889.15,124.0,125.0
cut,32742.630476190472,125.0,126.0
combin,32610.19886039886,126.0,127.0
gap,32422.321951219517,127.0,128.0
constraint,32307.136752136747,128.0,129.0
measur,32287.777207977208,129.0,130.0
regular,32256.260465116284,130.0,131.0
simpl,32253.93737373737,131.0,132.0
densiti,32166.615151515147,132.0,133.0
note,32013.980952380953,133.0,134.0
interest,32009.17237237237,134.0,135.0
maintain,31742.797660818713,135.0,136.0
tradeoff,31634.12444444445,136.0,137.0
split,31540.63063063063,137.0,138.0
environ,31512.047863247866,138.0,139.0
candid,31491.963157894734,139.0,140.0
left,31406.696296296297,140.0,141.0
