Name,IF,IFDenseRank,IFMinRank
xgrid,30200.856181665265,1.0,1.0
comput,24793.884592504462,2.0,2.0
agent,23281.514146341462,3.0,3.0
mac,23163.388561816653,4.0,4.0
control,22256.306341463416,5.0,5.0
render,22146.879730866272,6.0,6.0
grid,22067.764425936944,7.0,7.0
task,21595.43566021867,8.0,8.0
command,21518.69918699187,9.0,9.0
run,21405.121951219513,10.0,10.0
process,21263.296888141296,11.0,11.0
job,20673.073170731706,12.0,12.0
appl,20300.164844407063,13.0,13.0
time,20104.521341463413,14.0,14.0
applic,20000.661511005354,15.0,15.0
work,19954.008710801394,16.0,16.0
power,19884.554146341463,17.0,17.0
os,19823.05298570227,18.0,18.0
perform,19771.891834570517,19.0,19.0
test,19750.045416316232,20.0,20.0
maya,19734.86382113821,21.0,21.0
user,19671.448405253286,22.0,22.0
requir,19633.459349593497,23.0,23.0
result,19183.43266171792,24.0,24.0
client,18984.080284552845,25.0,25.0
file,18848.974634146343,26.0,26.0
network,18829.379573170732,27.0,27.0
web,18149.313320825517,28.0,28.0
instal,17860.978536585364,29.0,29.0
data,17660.83155487805,30.0,30.0
distribut,17626.173254835998,31.0,31.0
configur,17589.337979094074,32.0,32.0
plugin,17347.5,33.0,33.0
creat,17053.846153846156,34.0,34.0
member,16582.429268292686,35.0,35.0
system,15931.659726353362,36.0,36.0
set,15920.797909407665,37.0,37.0
exist,15863.261726078801,38.0,38.0
multipl,15567.68292682927,39.0,39.0
student,15190.880758807589,40.0,40.0
custom,15161.431263858094,41.0,41.0
directori,15070.725609756098,42.0,42.0
oper,15043.760975609757,43.0,43.0
import,15033.849416755036,44.0,44.0
calcul,14893.56203605514,45.0,45.0
cluster,14884.78286734087,46.0,46.0
gui,14716.463414634147,47.0,47.0
part,14314.329268292682,48.0,48.0
basic,14244.007804878049,49.0,49.0
manag,14224.400336417155,50.0,50.0
povray,14132.936120789778,51.0,51.0
line,14101.239837398372,52.0,52.0
workstat,14036.544090056284,53.0,53.0
send,13814.203605514316,54.0,54.0
problem,13697.20975609756,55.0,55.0
submit,13551.04994192799,56.0,56.0
major,13354.696230598667,57.0,57.0
need,13267.822905620358,58.0,58.0
learn,13258.440900562851,59.0,59.0
environ,13154.220450281426,60.0,60.0
script,13105.641569459172,61.0,61.0
default,13024.748780487804,62.0,62.0
univers,13019.862804878048,63.0,63.0
execut,12902.753170731707,64.0,64.0
machin,12701.705284552843,65.0,65.0
solut,12628.002120890773,66.0,66.0
technolog,12422.28078524688,67.0,67.0
singl,12418.709349593495,68.0,68.0
number,12374.445752733387,69.0,69.0
parallel,12298.246425567704,70.0,70.0
depend,12249.983032873806,71.0,71.0
alia,12177.709639953542,72.0,72.0
size,12009.188703465981,73.0,73.0
processor,11957.725609756097,74.0,74.0
resourc,11891.814396192742,75.0,75.0
gener,11821.150583244962,76.0,76.0
tool,11584.731707317074,77.0,77.0
develop,11460.481856038074,78.0,78.0
util,11399.39493433396,79.0,79.0
start,11380.236585365854,80.0,80.0
receiv,11312.390243902437,81.0,81.0
site,11266.368070953436,82.0,82.0
handl,11263.373983739837,83.0,83.0
type,11225.311219512196,84.0,84.0
base,11214.860487804879,85.0,85.0
function,11165.427937915743,86.0,86.0
design,11128.538536585365,87.0,87.0
implement,11126.9503784693,88.0,88.0
issu,11052.495309568481,89.0,89.0
complet,11026.130081300813,90.0,90.0
world,10995.466389054136,91.0,91.0
store,10973.602787456446,92.0,92.0
accept,10955.82028241335,93.0,93.0
provid,10926.469363474123,94.0,94.0
storag,10872.491707317075,95.0,95.0
concern,10793.982028241333,96.0,96.0
compon,10786.417682926829,97.0,97.0
unix,10605.560975609756,98.0,98.0
volum,10590.443266171791,99.0,99.0
frame,10581.940766550522,100.0,100.0
solv,10571.785365853657,101.0,101.0
model,10502.381915526472,102.0,102.0
facilit,10472.98780487805,103.0,103.0
call,10464.910569105688,104.0,104.0
connect,10456.548780487805,105.0,105.0
group,10383.765853658537,106.0,106.0
locat,10379.62906504065,107.0,107.0
licens,10319.313222079589,108.0,108.0
tmp,10283.275261324041,109.0,109.0
gridag,10269.036585365853,110.0,110.0
simpl,10265.762195121952,111.0,111.0
write,10188.558048780487,112.0,112.0
read,10161.181463414634,113.0,113.0
separ,10107.09899569584,114.0,114.0
document,9962.365853658535,115.0,115.0
find,9940.18292682927,116.0,116.0
access,9910.06631097561,117.0,117.0
idl,9900.214634146341,118.0,118.0
potenti,9885.78887195122,119.0,119.0
tradit,9882.210731707317,120.0,120.0
includ,9864.8,121.0,121.0
reynold,9763.902439024389,122.0,122.0
jame,9763.902439024389,122.0,122.0
radmind,9763.52613240418,123.0,124.0
project,9728.287923854848,124.0,125.0
limit,9719.76757532281,125.0,126.0
show,9643.336585365852,126.0,127.0
preview,9620.872913992298,127.0,128.0
server,9549.263211382113,128.0,129.0
dualprocessor,9476.956097560977,129.0,130.0
share,9454.787456445993,130.0,131.0
perl,9404.039024390244,131.0,132.0
recent,9399.705634987384,132.0,133.0
secur,9376.193245778613,133.0,134.0
individu,9338.323902439024,134.0,135.0
option,9330.321951219512,135.0,136.0
addit,9303.73463414634,136.0,137.0
divid,9275.239024390243,137.0,138.0
determin,9266.513629842182,138.0,139.0
expand,9222.10291493159,139.0,140.0
least,9194.853658536585,140.0,141.0
servic,9148.720999405115,141.0,142.0
internet,9143.716463414634,142.0,143.0
split,9119.508710801394,143.0,144.0
return,9038.97212543554,144.0,145.0
integr,9031.975609756098,145.0,146.0
chang,9009.712737127371,146.0,147.0
gs,8869.64487804878,147.0,148.0
piec,8868.822905620362,148.0,149.0
dedic,8720.915275994865,149.0,150.0
interfac,8694.627177700348,150.0,151.0
minut,8677.532281205165,151.0,152.0
attempt,8615.731707317074,152.0,153.0
assess,8597.275021026073,153.0,154.0
serv,8595.856707317074,154.0,155.0
host,8576.400951814398,155.0,156.0
allow,8571.212543554007,156.0,157.0
speed,8561.890243902439,157.0,158.0
paramet,8550.864745011086,158.0,159.0
ran,8550.686252771618,159.0,160.0
utah,8507.32734274711,160.0,161.0
end,8421.073170731706,161.0,162.0
school,8383.126829268293,162.0,163.0
ringl,8383.126829268293,162.0,163.0
mean,8377.999024390243,163.0,165.0
infrastructur,8258.667917448407,164.0,166.0
figur,8245.340028694403,165.0,167.0
research,8198.13801308745,166.0,168.0
progress,8185.957317073171,167.0,169.0
pane,8173.828048780489,168.0,170.0
prefer,8173.828048780489,168.0,170.0
permiss,8140.144390243903,169.0,172.0
method,8117.453658536585,170.0,173.0
train,8111.4765478424015,171.0,174.0
support,8096.341463414634,172.0,175.0
intens,8073.369422962523,173.0,176.0
specif,8020.851335656214,174.0,177.0
inform,7999.953095684804,175.0,178.0
protocol,7999.271106941839,176.0,179.0
lost,7989.499579478553,177.0,180.0
view,7989.126016260162,178.0,181.0
interest,7968.270168855534,179.0,182.0
featur,7961.073170731707,180.0,183.0
immedi,7920.568149210904,181.0,184.0
authent,7908.081613508443,182.0,185.0
ram,7892.585365853659,183.0,186.0
nation,7879.353658536584,184.0,187.0
overload,7866.519897304235,185.0,188.0
level,7836.811421772754,186.0,189.0
lan,7711.7326829268295,187.0,190.0
mandelbrot,7684.942350332594,188.0,191.0
highperform,7678.223717409587,189.0,192.0
password,7647.036585365853,190.0,193.0
larg,7624.411149825783,191.0,194.0
