Name,IF,IFDenseRank,IFMinRank
rout,34840.08477633478,1.0,1.0
random,31233.6974789916,2.0,2.0
epidem,31201.764705882353,3.0,3.0
deliveri,30190.7134502924,4.0,4.0
wireless,30184.555555555555,5.0,5.0
destin,29831.285714285714,6.0,6.0
direct,28814.659197012134,7.0,7.0
commun,28192.33621933622,8.0,8.0
show,27557.57843137255,9.0,9.0
opportunist,27286.244949494947,10.0,10.0
protocol,27151.649281934995,11.0,11.0
network,26862.21113630637,12.0,12.0
node,26783.782312925166,13.0,13.0
meet,26773.546798029554,14.0,14.0
mobil,26126.345427059714,15.0,15.0
forward,26044.589285714286,16.0,16.0
al,25941.799529688415,17.0,17.0
delay,25588.184523809523,18.0,18.0
ratio,25475.564425770306,19.0,19.0
transfer,25014.508928571428,20.0,20.0
deliv,24993.717171717173,21.0,21.0
approach,24917.899159663866,22.0,22.0
messag,24844.45653817082,23.0,23.0
contact,24822.25245653817,24.0,24.0
exchang,24730.90079365079,25.0,25.0
sourc,24702.479622479623,26.0,26.0
data,24653.766233766233,27.0,27.0
usag,24586.944444444445,28.0,28.0
predictionbas,24521.51633986928,29.0,29.0
estim,24503.318048206933,30.0,30.0
pattern,24315.074696545285,31.0,31.0
dtn,24282.44126984127,32.0,32.0
comput,24197.949134199138,33.0,33.0
evalu,23879.26984126984,34.0,34.0
applic,23858.603174603173,35.0,35.0
relay,23844.05452035887,36.0,36.0
user,23772.258064516125,37.0,37.0
copi,23757.13345091123,38.0,38.0
propos,23721.5873015873,39.0,39.0
low,23694.624649859943,40.0,40.0
inform,23676.3548085901,41.0,41.0
design,23572.577777777777,42.0,42.0
method,23377.289915966383,43.0,43.0
connect,23302.518518518515,44.0,44.0
probabl,23227.549508692362,45.0,45.0
directdeliveri,23134.68253968254,46.0,46.0
linkstat,22946.261437908495,47.0,47.0
expir,22852.18253968254,48.0,48.0
transmit,22688.221288515404,49.0,49.0
assum,22650.82575757576,50.0,50.0
devic,22622.686772486773,51.0,51.0
paper,22497.959656084655,52.0,52.0
time,22471.227513227514,53.0,53.0
requir,22383.288515406162,54.0,54.0
short,22243.075702075705,55.0,55.0
increas,22140.735653235657,56.0,56.0
differ,22089.0937950938,57.0,57.0
result,22064.0,58.0,58.0
perform,21748.810582010577,59.0,59.0
studi,21488.538961038965,60.0,60.0
su,21406.954051796154,61.0,61.0
simul,21189.614512471653,62.0,62.0
receiv,21137.759740259742,63.0,63.0
defin,21009.77922077922,64.0,64.0
research,20943.4410430839,65.0,65.0
peopl,20939.732142857138,66.0,66.0
timelycontact,20928.745098039213,67.0,67.0
trace,20766.542705971275,68.0,68.0
exist,20612.349206349205,69.0,69.0
replica,20452.7189888301,70.0,70.0
make,20427.297052154194,71.0,71.0
space,20382.29856386999,72.0,72.0
neighbor,20376.929606625257,73.0,73.0
number,20368.56991685563,74.0,74.0
interest,20304.219336219336,75.0,75.0
move,20183.428571428572,76.0,76.0
link,20154.45956160242,77.0,77.0
scale,19903.008403361342,78.0,78.0
compar,19891.13211951447,79.0,79.0
log,19730.34547152194,80.0,80.0
prophet,19588.498614260516,81.0,81.0
algorithm,19328.26793650794,82.0,82.0
accur,19310.415721844292,83.0,83.0
literatur,19244.37777777778,84.0,84.0
impact,19214.985638699924,85.0,85.0
locat,19130.674603174604,86.0,86.0
high,19066.084033613446,87.0,87.0
storag,19010.61526832955,88.0,88.0
send,18985.533333333333,89.0,89.0
figur,18966.22045855379,90.0,90.0
similar,18954.587991718425,91.0,91.0
simpl,18932.605714285713,92.0,92.0
model,18879.863945578232,93.0,93.0
due,18851.873015873014,94.0,94.0
index,18720.710144927536,95.0,95.0
reach,18714.260317460317,96.0,96.0
predict,18705.243638196018,97.0,97.0
start,18627.468599033815,98.0,98.0
duplic,18608.664799253034,99.0,99.0
encount,18563.774891774894,100.0,100.0
lindgren,18493.474426807756,101.0,101.0
reduc,18459.023199023202,102.0,102.0
collect,18458.412698412696,103.0,103.0
adapt,18435.47557997558,104.0,104.0
greater,18389.662525879918,105.0,105.0
resourc,18352.436974789915,106.0,106.0
address,18340.754285714283,107.0,107.0
updat,18280.483749055176,108.0,108.0
metadata,18132.136604136605,109.0,109.0
lowest,18068.298850574713,110.0,110.0
pij,17893.708994708995,111.0,111.0
chanc,17880.082417582416,112.0,112.0
hour,17842.493323255225,113.0,113.0
replic,17645.056689342404,114.0,114.0
point,17639.485714285714,115.0,115.0
