Name,IF,IFDenseRank,IFMinRank
queri,67398.08857001485,1.0,1.0
sensor,65768.99696048631,2.0,2.0
rang,64842.19148936171,3.0,3.0
network,64287.97971301337,4.0,4.0
node,62202.89769126302,5.0,5.0
data,61844.39193729003,6.0,6.0
dim,61837.11124620061,7.0,7.0
zone,59086.313716613855,8.0,8.0
event,58406.399728383876,9.0,9.0
rout,55638.00607902736,10.0,10.0
distribut,54796.60168233547,11.0,11.0
system,54582.83039513678,12.0,12.0
section,53791.55015197569,13.0,13.0
cost,53408.25227963526,14.0,14.0
messag,52216.01945288754,15.0,15.0
local,51959.880851063834,16.0,16.0
attribut,51625.06747720365,17.0,17.0
locat,51482.20790273555,18.0,18.0
design,50938.860182370816,19.0,19.0
algorithm,50154.50727883538,20.0,20.0
multidimension,49384.014589665654,21.0,21.0
gpsr,48948.09500247402,22.0,22.0
hash,48582.29544072948,23.0,23.0
insert,48553.01041195111,24.0,24.0
work,48391.77142857143,25.0,25.0
set,47145.0,26.0,26.0
figur,46686.81846989588,27.0,27.0
effici,46107.313677811544,28.0,28.0
final,45471.71556550952,29.0,29.0
geograph,45348.36396559529,30.0,30.0
size,44480.833250865915,31.0,31.0
resolv,44080.10750279955,32.0,32.0
valu,43549.37446808511,33.0,33.0
call,43508.93191489362,34.0,34.0
exist,42508.54346504559,35.0,35.0
code,42237.82888184699,36.0,36.0
number,41907.54067584481,37.0,37.0
index,41332.08698372966,38.0,38.0
discuss,41257.2717325228,39.0,39.0
store,41191.229062924394,40.0,40.0
implement,40702.85410334346,41.0,41.0
perimet,40681.94854032657,42.0,42.0
case,40278.98723404255,43.0,43.0
mechan,40056.627355623095,44.0,44.0
send,39300.91811734365,45.0,45.0
owner,38827.20364741641,46.0,46.0
receiv,38793.645592705165,47.0,47.0
compar,38729.42503711035,48.0,48.0
packet,38402.17021276596,49.0,49.0
storag,38348.32603254067,50.0,50.0
approach,37853.130162703375,51.0,51.0
databas,37736.218568665376,52.0,52.0
neighbor,37571.47080126754,53.0,53.0
make,37231.703343465044,54.0,54.0
gener,36893.030663329155,55.0,55.0
structur,36832.06320400501,56.0,56.0
ght,36781.446808510635,57.0,57.0
comput,36682.99836333879,58.0,58.0
deliv,36175.24593241552,59.0,59.0
show,36063.33479349186,60.0,60.0
map,35851.98122653317,61.0,61.0
evalu,35841.52855543113,62.0,62.0
travers,35575.10030395137,63.0,63.0
address,35508.061770761844,64.0,64.0
boundari,35186.846536894525,65.0,65.0
enabl,35116.21276595745,66.0,66.0
tree,35044.053900709216,67.0,67.0
support,34842.95994993742,68.0,68.0
defin,34800.664893617024,69.0,69.0
own,34713.630319148935,70.0,70.0
direct,34573.04448742747,71.0,71.0
field,34532.85638297872,72.0,72.0
match,34507.60918253079,73.0,73.0
scheme,34507.19649561952,74.0,74.0
describ,34486.16028368794,75.0,75.0
commun,34439.38423028786,76.0,76.0
assum,34406.18901533895,77.0,77.0
entir,34343.617021276594,78.0,78.0
robust,34321.257253384916,79.0,79.0
averag,34306.48247809763,80.0,80.0
initi,34261.61831076725,81.0,81.0
perform,34115.71339173968,82.0,82.0
experi,33750.2027534418,83.0,83.0
result,33399.91601343785,84.0,84.0
flood,32877.77783275606,85.0,85.0
key,32802.666458072585,86.0,86.0
simul,32690.83479349186,87.0,87.0
small,32626.073500967123,88.0,88.0
deliveri,32448.185686653775,89.0,89.0
equal,32434.202127659573,90.0,90.0
simpl,32403.993920972644,91.0,91.0
replic,32403.6802252816,92.0,92.0
essenti,32383.798498122655,93.0,93.0
ghtr,32122.672934190996,94.0,94.0
consist,32072.577507598777,95.0,95.0
order,31948.682223747423,96.0,96.0
process,31938.670212765956,97.0,97.0
interest,31829.102393617024,98.0,98.0
failur,31452.100940128646,99.0,99.0
space,31428.640957446805,100.0,100.0
applic,31390.871220604702,101.0,101.0
scale,31346.108317214705,102.0,102.0
undecid,31324.704630788485,103.0,103.0
problem,31267.1522606383,104.0,104.0
