Name,IF,IFDenseRank,IFMinRank
game,27051.5654296875,1.0,1.0
local,25091.11328125,2.0,2.0
system,24864.0546875,3.0,3.0
network,24035.22265625,4.0,4.0
site,23297.4609375,5.0,5.0
state,23173.5234375,6.0,6.0
transmiss,22286.3388671875,7.0,7.0
lag,22257.814453125,8.0,8.0
delay,21509.5703125,9.0,9.0
remot,21477.6953125,10.0,10.0
inconsist,21470.0078125,11.0,11.0
gsdrll,21449.94140625,12.0,12.0
consist,20866.0224609375,13.0,13.0
updat,20791.8388671875,14.0,14.0
time,20524.8046875,15.0,15.0
gsdr,19904.0625,16.0,16.0
oper,19502.2392578125,17.0,17.0
entiti,19432.763671875,18.0,18.0
dr,18965.9189453125,19.0,19.0
effect,18870.05859375,20.0,20.0
decreas,18807.865234375,21.0,21.0
share,18670.18359375,22.0,22.0
synchron,18275.373046875,23.0,23.0
physic,17456.765625,24.0,24.0
method,17434.521484375,25.0,25.0
result,17217.20703125,26.0,26.0
threshold,17031.703125,27.0,27.0
calcul,15798.1455078125,28.0,28.0
order,15444.931640625,29.0,29.0
elimin,15183.75,30.0,30.0
clock,15153.75,31.0,31.0
comput,14987.45,32.0,32.0
applic,14910.532258064517,33.0,33.0
posit,14526.12109375,34.0,34.0
mechan,14473.662109375,35.0,35.0
perform,14061.86875,36.0,36.0
point,13992.689453125,37.0,37.0
transmit,13887.23828125,38.0,38.0
evalu,13359.288541666665,39.0,39.0
ms,13325.810483870968,40.0,40.0
high,13289.1123046875,41.0,41.0
propos,13034.7529296875,42.0,42.0
period,12941.90625,43.0,43.0
maintain,12930.29296875,44.0,44.0
receiv,12917.39453125,45.0,45.0
base,12893.7375,46.0,46.0
compar,12808.85546875,47.0,47.0
workshop,12746.08064516129,48.0,48.0
increas,12531.578125,49.0,49.0
estim,12492.421875,50.0,50.0
replic,12476.101041666667,51.0,51.0
figur,12459.595766129032,52.0,52.0
player,12453.641129032258,53.0,53.0
netgam,12450.356854838708,54.0,54.0
caus,12445.875,55.0,55.0
distribut,12419.713541666666,56.0,56.0
set,12389.22685185185,57.0,57.0
interact,12310.246767241379,58.0,58.0
support,12191.298387096773,59.0,59.0
combin,12031.24609375,60.0,60.0
scene,11809.8828125,61.0,61.0
select,11761.820913461539,62.0,62.0
predict,11576.839717741936,63.0,63.0
predefin,11526.744140625,64.0,64.0
filter,11515.373991935483,65.0,65.0
continu,11442.77801724138,66.0,66.0
larger,11316.63671875,67.0,67.0
descript,11046.925403225805,68.0,68.0
issu,10933.443548387097,69.0,69.0
compos,10888.765086206895,70.0,70.0
approach,10827.489583333334,71.0,71.0
definit,10728.282258064515,72.0,72.0
make,10664.5703125,73.0,73.0
send,10575.59765625,74.0,74.0
show,10491.993055555555,75.0,75.0
difficult,10474.380387931034,76.0,76.0
veloc,10364.483870967742,77.0,77.0
path,10349.719827586207,78.0,78.0
deviat,10338.967548076924,79.0,79.0
number,10170.632812500002,80.0,80.0
global,10039.39314516129,81.0,81.0
pixel,10017.52232142857,82.0,82.0
differ,9961.14453125,83.0,83.0
work,9953.166666666668,84.0,84.0
spaceship,9951.480000000001,85.0,85.0
case,9882.74375,86.0,86.0
sreal,9879.020161290322,87.0,87.0
studi,9851.754807692309,88.0,88.0
addit,9835.832661290322,89.0,89.0
assum,9784.32762096774,90.0,90.0
term,9749.125,91.0,91.0
employ,9654.010416666666,92.0,92.0
achiev,9648.47379032258,93.0,93.0
slate,9631.436491935483,94.0,94.0
relat,9621.071428571428,95.0,95.0
metric,9534.802083333334,96.0,96.0
accur,9471.171875,97.0,97.0
current,9449.166666666666,98.0,98.0
degre,9440.971774193547,99.0,99.0
paper,9425.66015625,100.0,100.0
timestamp,9294.151209677419,101.0,101.0
main,9188.392857142857,102.0,102.0
request,8990.806034482759,103.0,103.0
mainten,8989.04296875,104.0,104.0
paramet,8973.145474137931,105.0,105.0
correct,8908.466346153848,106.0,106.0
spremot,8885.091733870968,107.0,107.0
highli,8879.300925925925,108.0,108.0
signific,8869.033405172413,109.0,109.0
tackl,8834.4140625,110.0,110.0
execut,8822.197265625,111.0,111.0
refer,8816.146381578947,112.0,112.0
orient,8802.818181818182,113.0,113.0
exist,8761.7775,114.0,114.0
immedi,8666.3671875,115.0,115.0
packet,8466.014008620688,116.0,116.0
al,8405.811458333334,117.0,117.0
repair,8310.828125,118.0,118.0
scalabl,8306.7025,119.0,119.0
multiplay,8297.505387931034,120.0,120.0
name,8280.08125,121.0,121.0
note,8273.926724137931,122.0,122.0
section,8258.615625,123.0,123.0
aforement,8232.0,124.0,124.0
par,8206.507211538463,125.0,125.0
part,8144.299342105262,126.0,126.0
procedur,8104.404513888889,127.0,127.0
smaller,8088.9375,128.0,128.0
fix,8048.01724137931,129.0,129.0
dei,8021.79,130.0,130.0
proc,7918.229166666666,131.0,131.0
specif,7861.175646551725,132.0,132.0
deadreckon,7815.666666666666,133.0,133.0
act,7810.064655172413,134.0,134.0
need,7792.8828125,135.0,135.0
categori,7755.616776315788,136.0,136.0
sremot,7748.062499999999,137.0,137.0
repres,7726.833333333333,138.0,138.0
fair,7697.951171875,139.0,139.0
tradit,7585.574353448275,140.0,140.0
cdmg,7556.288793103448,141.0,141.0
describ,7500.821875000001,142.0,142.0
practic,7493.4051724137935,143.0,143.0
typic,7448.966145833332,144.0,144.0
condit,7431.475961538463,145.0,145.0
divid,7429.305555555556,146.0,146.0
mean,7420.139999999999,147.0,147.0
session,7398.511853448275,148.0,148.0
broaden,7388.259999999999,149.0,149.0
greatli,7388.259999999999,149.0,149.0
formula,7375.6825,150.0,151.0
constraint,7370.7375,151.0,152.0
chang,7345.609375,152.0,153.0
mauv,7322.232336956522,153.0,154.0
begin,7313.1594827586205,154.0,155.0
present,7301.672916666666,155.0,156.0
remov,7214.235000000001,156.0,157.0
small,7157.9879807692305,157.0,158.0
