Name,IF,IFDenseRank,IFMinRank
system,51691.4880952381,1.0,1.0
video,48648.871080139375,2.0,2.0
resourc,44892.10317460317,3.0,3.0
applic,43496.371315192744,4.0,4.0
qo,42589.04761904762,5.0,5.0
adapt,40073.82426303855,6.0,6.0
util,39908.82993197279,7.0,7.0
requir,38623.78117913832,8.0,8.0
hyarm,38496.4081632653,9.0,9.0
network,36700.38675958188,10.0,10.0
control,36357.433797909405,11.0,11.0
dre,36282.617913832204,12.0,12.0
realtim,36020.037166085946,13.0,13.0
multimedia,35897.0731292517,14.0,14.0
bandwidth,34608.45702671313,15.0,15.0
receiv,34243.44947735192,16.0,16.0
avail,33281.25783972126,17.0,17.0
rate,31534.323461091757,18.0,18.0
endtoend,31417.410430839005,19.0,19.0
comput,31416.345528455284,20.0,20.0
base,31354.573170731706,21.0,21.0
servic,31311.69512195122,22.0,22.0
resolut,31213.825783972123,23.0,23.0
dynam,31182.271777003487,24.0,24.0
end,30798.146341463413,25.0,25.0
uav,30548.478513356564,26.0,26.0
monitor,29699.656213705,27.0,27.0
result,29611.924036281176,28.0,28.0
frame,29451.116144018586,29.0,29.0
perform,29355.19918699187,30.0,30.0
manag,28517.803716608596,31.0,31.0
figur,28258.39605110337,32.0,32.0
distribut,28199.95993031359,33.0,33.0
station,27789.329268292684,34.0,34.0
ensur,27751.257369614512,35.0,35.0
latenc,27129.7212543554,36.0,36.0
workload,26453.095238095237,37.0,37.0
compress,26450.121951219513,38.0,38.0
andor,26272.260743321716,39.0,39.0
effect,26079.11111111111,40.0,40.0
case,26061.12358276644,41.0,41.0
bound,26046.409988385596,42.0,42.0
techniqu,25715.772357723574,43.0,43.0
transmit,25632.66898954704,44.0,44.0
jitter,24698.397212543554,45.0,45.0
modifi,24389.247386759584,46.0,46.0
studi,24268.800453514734,47.0,47.0
oper,24147.720092915213,48.0,48.0
middlewar,24072.47386759582,49.0,49.0
scheme,24046.02787456446,50.0,50.0
meet,24019.60975609756,51.0,51.0
experi,23955.0,52.0,52.0
provid,23550.038327526134,53.0,53.0
met,23475.730158730155,54.0,54.0
paramet,23446.919279907084,55.0,55.0
specif,23276.93902439024,56.0,56.0
qosen,23060.12601626016,57.0,57.0
appli,22857.695121951223,58.0,58.0
subject,22803.83275261324,59.0,59.0
properti,22622.958768873403,60.0,60.0
corba,22574.444831591176,61.0,61.0
section,22551.642857142855,62.0,62.0
shown,22506.73286875726,63.0,63.0
implement,22370.114982578398,64.0,64.0
overutil,22289.51219512195,65.0,65.0
qualiti,22212.652729384437,66.0,66.0
chang,22199.584204413473,67.0,67.0
hybrid,21981.21893147503,68.0,68.0
cpu,21782.96167247387,69.0,69.0
fluctuat,21537.30782312925,70.0,70.0
effici,21446.630662020907,71.0,71.0
condit,21345.87108013937,72.0,72.0
softwar,21280.808163265305,73.0,73.0
