,Words,Old_WScore,Position_Weight,SCScore
18,griden,24335.925000000007,1.0314669431197128,25101.7021677406
15,ensembl,24556.87142857143,0.5668973537273938,13921.22542868099
42,kalman,18680.305952380957,0.3727095016122673,6962.327521476576
33,assimil,19759.400000000005,0.23823274143940046,4707.33603119769
5,comput,28061.357142857138,0.1354109949334233,3799.816289896409
72,methodolog,15651.385714285716,0.20373816647544848,3188.7846282285996
1,tigr,29770.2947845805,0.09451874725896632,2813.850968568687
78,perform,15292.048214285714,0.13237935738740653,2024.3515157443803
9,model,26385.2335600907,0.06769054195912708,1786.0307594006874
17,data,24358.82738095238,0.07036923932039554,1714.1121535344419
256,tx,7958.32857142857,0.21049642079053843,1675.1996797607928
0,grid,30640.836734693883,0.052669935635571125,1613.8508986363702
27,simul,21307.425000000007,0.0727990983306117,1551.1613277471345
117,tech,12942.383928571433,0.11656746031746032,1508.6608250070867
20,approach,24170.857142857138,0.062243839861881346,1504.4869613244105
132,petroleum,11994.2,0.09458130446234912,1134.427081982308
3,environ,29105.19727891156,0.0313022168838291,911.0571976711223
30,reservoir,20109.219047619048,0.04481646434599508,901.2240984734242
12,licens,25126.29841269841,0.03348742503324136,841.4150344580894
4,job,28223.016897081405,0.028939273977710792,816.7536184621999
23,eclips,22853.3275862069,0.03487166046671832,796.9334801208944
2,resourc,29447.170868347333,0.027059475714621934,796.8250049763672
38,filter,19260.263095238097,0.03900375764192884,751.222633886453
8,applic,27421.74603174603,0.02314589733317549,634.7009183472061
419,station,5368.0,0.11410256410256411,612.5025641025642
31,texa,19920.82823129252,0.028660691359700872,570.9447095666907
11,enkf,26060.059863945582,0.021513716057638545,560.6487283579878
21,implement,24086.190476190477,0.02234276205177657,538.1520225432909
14,gridway,24670.34557823129,0.021742799707430344,536.4023826205728
48,geolog,17871.412500000002,0.029948545226985524,535.2228055263645
7,site,27738.694581280786,0.018749592736407684,520.0892264386134
26,provid,21652.8,0.022583138342868545,488.988177910464
10,support,26070.33401360544,0.016693154006345388,435.19610068598007
49,softwar,17727.09700176367,0.02351348857580801,416.82589283321045
37,research,19312.897392290248,0.021532574219371194,415.85639649059016
32,distribut,19848.10714285714,0.020263356770383625,402.1892762525138
19,manag,24229.38775510204,0.016478933521147005,399.2744700744198
80,system,15158.221088435374,0.02623660633828721,397.7002794860024
24,servic,22376.42857142857,0.01717009151379617,384.20532632335187
103,field,13992.142857142857,0.027063403975106672,378.6750146202604
22,schedul,23973.4,0.015427677766603289,369.8538901698873
16,user,24412.761904761905,0.014443400359097483,352.60329406179943
57,institut,16730.680839002263,0.01872274998884912,313.24435449186785
41,high,18769.821428571428,0.01660852586830124,311.73906473982345
65,project,16171.520408163264,0.019002393999211616,307.2976023622098
236,oil,8530.3,0.03583985393969138,305.7247060617493
6,cluster,27762.46551724138,0.010883945450304404,302.16516025561225
39,local,19118.367346938776,0.014748175227871814,281.96103170347584
35,file,19507.928571428565,0.014420107334208638,281.3064238680753
47,opportun,17891.847619047618,0.015127067181825707,270.65118094032164
140,product,11551.464285714286,0.02341749260796838,270.506329521925
13,mpi,24890.190476190477,0.010509709175842763,261.5886632360932
79,educ,15232.529478458047,0.016892329270707596,257.3129035758732
75,design,15397.852040816326,0.01658939145717946,255.44099510483167
67,collabor,16058.502267573691,0.015793131559992672,253.61403896823194
25,number,22004.09523809524,0.010475842559634685,230.511437381493
60,extend,16489.714285714286,0.013692870252997945,225.7915182232924
83,goal,15021.942857142854,0.014332516399044109,215.30224234550346
53,pool,17306.94761904762,0.012043930218979232,208.4436694273383
55,effort,16919.88888888889,0.011910631126672091,201.5265552598333
124,section,12487.015306122448,0.01608782327893274,200.88889552622615
90,depend,14621.358095238096,0.013523991972267833,197.73912950365332
112,check,13205.826666666666,0.014921003446060394,197.04418520140956
82,area,15117.485827664399,0.012789048876706057,193.33826514291113
54,involv,16930.231859410433,0.01100869411561062,186.37974384661507
59,requir,16526.19047619047,0.01039600470255366,171.80635390577362
44,interest,18137.14285714285,0.009397403301968633,170.44204617399103
235,forecast,8593.869642857144,0.018900275155228647,162.42650089816655
93,increas,14393.323979591838,0.011106010282469539,159.85240411626233
123,state,12732.294217687075,0.012552660848192527,159.82417113402863
202,schlumberg,9510.023809523813,0.016534040671971707,157.23912045808603
64,univers,16261.273242630383,0.009539948219360604,155.13170471556796
146,capabl,11422.52551020408,0.013279500536253368,151.68543363812284
295,hydrocarbon,6966.604166666668,0.021718779254821192,151.3061380515509
45,remot,18050.329931972792,0.008223896183917811,148.4440394460085
92,author,14447.957142857143,0.010032961971120961,144.9558045746712
101,instal,14000.874779541442,0.010269418069601502,143.78083645125082
129,learn,12083.348571428573,0.011715495486110712,141.56241564567375
46,secur,18005.719780219784,0.007850430510735175,141.35265193038524
52,packag,17362.74744897959,0.008136645648973933,141.27452348497303
100,certif,14001.136363636364,0.010081359011279099,141.15048224769293
40,process,18859.198686371103,0.007366798041451886,138.9319079461106
134,compon,11908.300453514741,0.011321217944117983,134.8164647782794
43,demonstr,18165.535714285714,0.006963149131675755,126.48933423535348
36,metaschedul,19373.72448979592,0.006436777030979948,124.70434480045209
118,detail,12932.34268707483,0.009296923369730014,120.23099895282303
250,messagepass,8136.374149659863,0.014706694653115332,119.65917020254851
120,account,12885.641025641024,0.00909090909090909,117.14219114219112
76,energi,15356.655328798184,0.007424791392182696,114.01996229797729
306,well,6743.223809523811,0.016865694789081887,113.72915466589865
77,explor,15356.655328798184,0.0073972154864724955,113.5964886186063
73,develop,15606.335034013606,0.007142715637930459,111.47161329823096
121,purpos,12792.433333333332,0.008710311807790933,111.42608311371166
58,figur,16588.81349206349,0.006454392011373016,107.0707052813315
62,inform,16356.36,0.006496661154362124,106.26172863876246
29,work,20225.27619047619,0.005227231735340857,105.72220555889098
34,main,19680.14285714286,0.005330622709211079,104.90741643480393
97,ca,14104.159090909092,0.007413986401836062,104.56804370933249
136,authent,11783.592380952381,0.00801924192796594,94.49547808339334
56,issu,16785.166666666664,0.005489115151007669,92.13571266218888
99,set,14044.308641975307,0.006552301934721628,92.02255068664249
252,lesson,8106.7142857142835,0.011208769504246496,90.86629186535367
170,austin,10342.18253968254,0.008651075068506606,89.47099752299196
68,subjob,15780.02222222222,0.005487720410012097,86.59635001933333
243,medicin,8309.096938775509,0.0102973678923046,85.56182803139336
115,host,13087.34693877551,0.006385760162172222,83.57265871015923
181,paradigm,9988.371848739496,0.00825039287585123,82.40799194219332
192,emerg,9783.037815126048,0.007931644880174293,77.59558179889602
175,fact,10203.382653061222,0.007332239764240291,74.81364801853509
399,good,5575.496598639455,0.013333333333333334,74.33995464852607
259,paper,7903.047619047618,0.009259259259259259,73.1763668430335
271,reduc,7645.2380952380945,0.009523809523809525,72.81179138321995
71,modelspecif,15666.573979591834,0.0045905565874711,71.91829438511863
69,gener,15747.028571428571,0.004334304788685184,68.25242134470527
107,output,13626.714285714286,0.0048598842979865,66.22425479029118
102,input,13996.658163265307,0.004720442328982724,66.07041765817914
216,middlewar,8895.493197278909,0.00738562091503268,65.69874060735404
135,histori,11842.207039337472,0.005529138840167453,65.47720689450524
152,time,11170.661904761904,0.005859587527288562,65.45547116870034
50,compar,17534.137755102038,0.003663397002206462,64.23450768831594
285,potenti,7348.722222222222,0.00847457627118644,62.27730696798493
96,util,14126.228571428572,0.004383970368429128,61.9289674747998
286,benefit,7348.722222222222,0.008403361344537815,61.753968253968246
163,submiss,10585.85969387755,0.005812812910945775,61.53362190203191
222,minim,8806.567901234566,0.006929938658730585,61.028975349501295
230,advanc,8697.56746031746,0.006914783329877669,60.141794485089626
197,fund,9642.942176870749,0.006202203701969598,59.80749166726653
165,portal,10492.541666666666,0.005595657261930893,58.71266697319581
179,higher,10027.420634920634,0.005798554178477307,58.14454182196861
125,enhanc,12439.607142857141,0.004651162790697674,57.85863787375415
242,descript,8368.676020408164,0.006909723604764832,57.82523823884371
180,sustain,10027.420634920634,0.005717578950453076,57.33256914956103
288,subject,7149.880952380953,0.008,57.199047619047626
94,handl,14314.437142857143,0.0039561500351333765,56.6300610056288
141,globu,11545.811428571431,0.004808784850932219,55.521323089434375
144,wait,11444.90714285714,0.004828705653622331,55.26408782589687
219,web,8837.931428571428,0.006216496905448343,54.94097337627894
108,load,13623.365384615383,0.003999930585302235,54.492515876670815
106,execut,13692.666666666668,0.003977936538786599,54.46855904675864
137,request,11726.708333333332,0.004644063571280166,54.45957898186088
177,consist,10083.58906525573,0.005395605506840212,54.40706868920756
244,bioscienc,8309.096938775509,0.006369426751592357,52.924184323410884
234,tool,8600.489010989011,0.006134478076225547,52.75951128273083
128,observ,12212.041208791208,0.004198443546083328,51.2715655975531
155,intercampu,10907.21371882086,0.004392899937828204,47.91429846728708
84,specif,14966.731092436976,0.003197310877569845,47.85329212351155
193,infrastructur,9779.953125,0.004892870503466434,47.852044170596876
113,end,13146.516666666665,0.003619782863156596,47.58753574020257
320,hpc,6532.142857142857,0.006944444444444444,45.36210317460317
323,import,6506.913832199547,0.006756756756756757,43.96563400134829
324,stem,6506.913832199547,0.006711409395973154,43.67056263221173
61,singl,16476.649206349208,0.002642549586122657,43.5403625409263
322,ground,6506.913832199547,0.006578947368421052,42.80864363289175
325,break,6506.913832199547,0.006535947712418301,42.52884857646763
213,configur,9047.266666666666,0.004682154313555466,42.36069864921992
95,workflow,14290.285714285714,0.0029243691291933886,41.79007039021043
133,prepar,11969.859126984124,0.0034199148015400882,40.93589840072272
148,particip,11343.809523809525,0.003605260504795759,40.897388450116466
326,environment,6506.913832199547,0.00625,40.668211451247174
119,processor,12911.716748768471,0.0031388469616986164,40.52790288718505
89,updat,14698.295454545454,0.002725833564390181,40.065107089323625
66,runtim,16106.999999999998,0.0024796289370642255,39.939383289293474
194,scienc,9749.622448979593,0.004034258004443584,39.33249240509878
314,mechan,6643.725170068027,0.005856643655019548,38.90993086297258
151,strateg,11243.611111111111,0.0034482758620689655,38.77107279693487
114,qo,13128.412698412696,0.0029507368928903548,38.738491694296556
85,parallel,14955.339901477832,0.0025423561498852626,38.02180037214662
238,integr,8487.159863945577,0.004405286343612335,37.38836944469418
130,collect,12057.488662131522,0.003062703584932701,36.92851375079561
87,dynam,14835.600000000002,0.002450328324894981,36.35209089681199
178,uncertainti,10076.809523809525,0.003503848620451605,35.307615148553595
111,iter,13348.767316017316,0.002610893887587222,34.852214992213696
98,open,14082.590476190477,0.0024648041353792127,34.710827242566204
239,deriv,8444.052028218695,0.004103370001746115,34.649069785776035
189,conf,9851.238095238095,0.003503102027709444,34.50989214687709
91,transfer,14604.483809523812,0.0023584905660377358,34.444537286612764
361,internet,5908.079365079367,0.005813953488372093,34.34929863418236
109,help,13520.978260869566,0.0025380710659898475,34.317203707790775
208,conclus,9211.05500821018,0.003703265265857749,34.11098007380982
237,teragrid,8499.885714285714,0.004007333109792544,34.06187345230979
248,login,8211.04,0.004146974526331809,34.050973714691544
298,hipcat,6899.652777777777,0.004830917874396135,33.33165593129361
105,shown,13852.736111111108,0.0023911194307969356,33.123546484980146
51,program,17393.725274725275,0.001902244745154442,33.087122502506155
272,grambas,7544.465714285715,0.004354733202504439,32.85413534115637
363,carri,5908.079365079367,0.005555555555555556,32.82266313932982
362,rice,5908.079365079367,0.0055248618784530384,32.641322459002026
359,ut,5908.079365079367,0.00546448087431694,32.28458669442277
116,list,13041.170995670996,0.0024741184911849117,32.26540230709396
360,major,5908.079365079367,0.005405405405405406,31.935564135564146
147,respect,11347.071428571431,0.0027134826558974936,30.790081516658574
139,link,11560.96,0.0025701508673644895,29.713411371566167
160,start,10660.11038961039,0.0027864506518105433,29.703871543502217
70,advantag,15667.590476190477,0.001895030536217502,29.690562381331468
274,air,7499.868055555556,0.00392156862745098,29.411247276688453
173,serv,10238.685185185182,0.002869511748228294,29.380027425299865
349,consortium,6101.468253968254,0.004807692307692308,29.333981990231994
287,dn,7183.938775510203,0.004069382348070872,29.2341936426831
254,tacc,8044.809523809525,0.003631185250441268,29.212193685466588
264,campu,7886.184353741497,0.0036363636363636364,28.677034013605443
