,Words,Old_WScore,Position_Weight,SCScore
9,opportunist,27286.244949494947,1.0747963772631783,29327.157220832865
0,rout,34840.08477633478,0.6267424433099038,21835.75985784424
11,network,26862.211136306367,0.24416313690368394,6558.761735209635
23,contact,24822.25245653817,0.24514302130417615,6085.001962770775
12,node,26783.782312925166,0.17476134591633696,4680.7698457369825
10,protocol,27151.649281934995,0.1686996039617562,4580.472480770936
14,mobil,26126.345427059718,0.1408255540172518,3679.257069211778
169,realist,15028.571428571428,0.23281330967842975,3498.8514540244014
228,larg,12780.591836734693,0.25062150403977623,3203.091148640935
22,messag,24844.45653817082,0.11963085722394418,2972.1636329243997
7,commun,28192.33621933622,0.08728016698970097,2460.63181305346
32,comput,24197.949134199134,0.09425530705274532,2280.785125690652
59,studi,21488.538961038965,0.08549366820581872,1837.1340201628736
3,deliveri,30190.713450292402,0.050878849671227716,1536.0687711045398
122,adhoc,17236.2012987013,0.07702878414310536,1327.6836292847747
260,david,11721.474025974028,0.11320241904182216,1326.8992144761462
188,technolog,14224.409451659452,0.08689411359798839,1236.0174507567963
2,epidem,31201.764705882357,0.038928149487700986,1214.626960750661
49,assum,22650.825757575763,0.052029180400844734,1178.50389956901
453,song,9165.610389610389,0.125332005312085,1148.7443300391506
33,evalu,23879.269841269837,0.04727740540104405,1128.9499209666387
44,probabl,23227.54950869236,0.04767562041039286,1107.387833440024
132,dartmouth,16666.272727272728,0.06449771769020997,1074.9365533116822
62,receiv,21137.759740259742,0.04971628830601162,1050.8909573899587
68,exist,20612.349206349205,0.048940620554533514,1008.7811612454765
26,data,24653.766233766237,0.03933341940179172,969.7169271064585
5,destin,29831.285714285717,0.03246571951495201,968.4941547703949
176,path,14646.52525252525,0.06383280838874043,934.9288400052924
1,random,31233.697478991602,0.029836109956657392,931.8920323361663
38,propos,23721.5873015873,0.038137466807970935,904.6812483466705
401,secur,9666.578282828285,0.09167892114937395,886.221468175665
177,colleg,14642.19264069264,0.05974870202138209,874.8520050284183
52,time,22471.227513227514,0.03863614945947923,868.20170473902
76,link,20154.45956160242,0.04217718975118298,850.0584652622495
61,simul,21189.614512471653,0.03933175095512217,833.4246408395775
18,ratio,25475.564425770302,0.028709733291312326,731.3966601095096
294,endtoend,11334.713203463203,0.06308287316562017,715.0262753827495
67,trace,20766.54270597128,0.03167669995519902,657.8155424038789
6,direct,28814.659197012134,0.022492769675484865,648.1214925959856
50,devic,22622.686772486773,0.02731393053249017,617.914494961988
164,sender,15322.733766233767,0.03712738700998101,568.8930665898649
17,delay,25588.184523809527,0.021103382399799944,539.9972429225953
244,frequent,12329.985569985569,0.04040491130020329,498.19197328805336
512,scienc,7953.2846320346325,0.0625,497.08028950216453
65,peopl,20939.732142857138,0.023445980138540545,490.9525439277875
83,literatur,19244.37777777778,0.024789301609448856,477.0546850195085
45,directdeliveri,23134.68253968254,0.020580739569561007,476.1288763736766
19,transfer,25014.508928571428,0.01857269530810292,464.5868526121771
134,set,16550.093222474174,0.027674068627374655,458.00841562819846
423,usa,9499.295815295814,0.0480017494942868,455.9828180979566
355,break,10451.082251082253,0.042618528409728934,445.4097458301628
80,prophet,19588.49861426052,0.022160289605100986,434.0868022211325
